id,code,name,latitude,longitude
1,1,Piemonte,45.0732745,7.680687483
2,2,Valle d'Aosta,45.73750286,7.320149366
3,3,Lombardia,45.46679409,9.190347404
4,4,Bolzano,46.49933453,11.35662422
5,4,Trento,46.06893511,11.12123097
6,5,Veneto,45.43490485,12.33845213
7,6,Friuli Venezia Giulia,45.6494354,13.76813649
8,7,Liguria,44.41149315,8.9326992
9,8,Emilia Romagna,44.49436681,11.3417208
10,9,Toscana,43.76923077,11.25588885
11,10,Umbria,43.10675841,12.38824698
12,11,Marche,43.61675973,13.5188753
13,12,Lazio,41.89277044,12.48366722
14,13,Abruzzo,42.35122196,13.39843823
15,14,Molise,41.55774754,14.65916051
16,15,Campania,40.83956555,14.25084984
17,16,Puglia,41.12559576,16.86736689
18,17,Basilicata,40.63947052,15.80514834
19,18,Calabria,38.10922769,15.6434527
20,19,Sicilia,38.11569725,13.3623567
21,20,Sardegna,39.21531192,9.110616306
